pathway,n_genes,n_below,expected_below,fold_enrichment,mean_rank_pct,perm_p,q_value,significant_fdr05
GO_BP:Protein Oxidation (GO:0018158),10,3,0.9330650285956366,3.215209988649262,51.55828859514662,0.058269417305826944,1.0,False
GO_BP:Columnar/Cuboidal Epithelial Cell Differentiation (GO:0002065),10,3,0.9330650285956366,3.215209988649262,39.956544198472876,0.05852941470585294,1.0,False
GO_BP:Microtubule Nucleation (GO:0007020),23,5,2.146049565769964,2.3298623106154075,43.266507337451436,0.05857941420585794,1.0,False
GO_BP:Positive Regulation Of Cellular Extravasation (GO:0002693),10,3,0.9330650285956366,3.215209988649262,47.01948124949296,0.058639413605863944,1.0,False
GO_BP:protein-RNA Complex Assembly (GO:0022618),139,19,12.969603897479349,1.4649637837970257,40.707346023589224,0.05872941270587294,1.0,False
GO_BP:Protein Deneddylation (GO:0000338),10,3,0.9330650285956366,3.215209988649262,30.003190134545395,0.05910940890591094,1.0,False
GO_BP:Regulation Of Glycogen Metabolic Process (GO:0070873),10,3,0.9330650285956366,3.215209988649262,25.707598507623402,0.05926940730592694,1.0,False
GO_BP:Muscle Filament Sliding (GO:0030049),10,3,0.9330650285956366,3.215209988649262,33.77228603725496,0.05974940250597494,1.0,False
GO_BP:Positive Regulation Of Cell Morphogenesis Involved In Differentiation (GO:0010770),10,3,0.9330650285956366,3.215209988649262,49.79582689353547,0.05988940110598894,1.0,False
GO_BP:Transcription Preinitiation Complex Assembly (GO:0070897),54,9,5.038551154416437,1.7862277714718124,37.20683156524334,0.06104938950610494,1.0,False
GO_BP:Atrial Septum Morphogenesis (GO:0060413),10,3,0.9330650285956366,3.215209988649262,37.291734613693556,0.06115938840611594,1.0,False
GO_BP:Intracellular Protein Transport (GO:0006886),316,38,29.484854903622114,1.2887972528340925,45.857423248424325,0.06337936620633794,1.0,False
GO_BP:Transcription Initiation At RNA Polymerase II Promoter (GO:0006367),71,11,6.624761703029019,1.6604370833399946,36.69083292646665,0.06425935740642594,1.0,False
GO_BP:Translational Elongation (GO:0006414),39,7,3.6389536115229824,1.9236299077388748,48.31357407042482,0.06567934320656793,1.0,False
GO_BP:Regulation Of Mitotic Spindle Organization (GO:0060236),39,7,3.6389536115229824,1.9236299077388748,39.89450541666521,0.06577934220657794,1.0,False
GO_BP:rRNA Transcription (GO:0009303),17,4,1.5862105486125821,2.5217333244307936,44.969264885956,0.06609933900660993,1.0,False
"GO_BP:Wound Healing, Spreading Of Cells (GO:0044319)",24,5,2.2393560686295277,2.232784714339765,45.58243618580385,0.06645933540664593,1.0,False
GO_BP:Regulation Of Glycogen Biosynthetic Process (GO:0005979),24,5,2.2393560686295277,2.232784714339765,43.56897268038975,0.06684933150668493,1.0,False
GO_BP:Negative Regulation Of TORC1 Signaling (GO:1904262),24,5,2.2393560686295277,2.232784714339765,41.18078018375956,0.06699933000669993,1.0,False
GO_BP:mRNA Stabilization (GO:0048255),47,8,4.385405634399492,1.8242326176733403,37.25109631783735,0.06749932500674993,1.0,False
GO_BP:Late Endosome To Vacuole Transport Via Multivesicular Body Sorting Pathway (GO:0032511),24,5,2.2393560686295277,2.232784714339765,44.09550941399604,0.06754932450675494,1.0,False
GO_BP:Vesicle-Mediated Transport Between Endosomal Compartments (GO:0098927),24,5,2.2393560686295277,2.232784714339765,45.69301509217052,0.06781932180678193,1.0,False
GO_BP:Rac Protein Signal Transduction (GO:0016601),17,4,1.5862105486125821,2.5217333244307936,47.9460522791446,0.06803931960680393,1.0,False
GO_BP:Regulation Of Integrin-Mediated Signaling Pathway (GO:2001044),17,4,1.5862105486125821,2.5217333244307936,50.31727415143239,0.06819931800681993,1.0,False
"GO_BP:DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)",17,4,1.5862105486125821,2.5217333244307936,53.68936643165528,0.06858931410685894,1.0,False
GO_BP:Steroid Metabolic Process (GO:0008202),89,13,8.304278754501166,1.5654580469078803,50.558436077456605,0.06876931230687693,1.0,False
KEGG:Chemokine signaling pathway,187,24,17.448316034738404,1.3754909042349783,49.32500188932774,0.06880931190688093,1.0,False
GO_BP:Negative Regulation Of Cellular Response To Hypoxia (GO:1900038),5,2,0.4665325142978183,4.286946651532349,32.85042914345414,0.07064929350706493,1.0,False
GO_BP:Positive Regulation Of NK T Cell Proliferation (GO:0051142),5,2,0.4665325142978183,4.286946651532349,27.80507114857911,0.07076929230707693,1.0,False
GO_BP:Spermidine Metabolic Process (GO:0008216),5,2,0.4665325142978183,4.286946651532349,31.683871712223002,0.07086929130708693,1.0,False
GO_BP:Meiotic DNA Double-Strand Break Formation (GO:0042138),5,2,0.4665325142978183,4.286946651532349,43.74184219838246,0.07097929020709792,1.0,False
GO_BP:mRNA 5'-Splice Site Recognition (GO:0000395),5,2,0.4665325142978183,4.286946651532349,15.096082953695987,0.07113928860711392,1.0,False
GO_BP:Mitochondrion-Endoplasmic Reticulum Membrane Tethering (GO:1990456),5,2,0.4665325142978183,4.286946651532349,31.580838578027844,0.07139928600713993,1.0,False
